Wall time,Step,Value
1606976504.8441703,4915,0.7596420049667358
1606976504.9628675,4920,0.5693336129188538
1606976505.0899076,4925,0.3292619287967682
1606976505.4548526,4940,0.6072817444801331
1606976505.5754735,4945,0.30704060196876526
1606976506.5446644,4985,0.48431262373924255
1606976506.9046602,5000,175.60488891601562
1606976507.4466891,5005,2.8196287155151367
1606976507.7038417,5015,1.2975786924362183
1606976507.9626887,5025,0.7317207455635071
1606976508.0841475,5030,0.7402790784835815
1606976508.4475057,5045,0.5707592368125916
1606976508.567316,5050,0.6831780076026917
1606976508.8074846,5060,0.49712657928466797
1606976508.926266,5065,0.6251583695411682
1606976509.0450692,5070,0.7383439540863037
1606976509.1645477,5075,1.0452489852905273
1606976509.534335,5090,0.9604505300521851
1606976510.5118802,5130,0.5768247842788696
1606976510.7532995,5140,0.665871262550354
1606976510.993282,5150,0.7913476824760437
1606976511.2319438,5160,0.4263147711753845
1606976511.3520565,5165,0.4029989242553711
1606976511.4716585,5170,0.47366252541542053
1606976511.7146719,5180,0.32623177766799927
1606976511.9535534,5190,0.5193344354629517
1606976512.0783937,5195,0.49347200989723206
1606976512.2037578,5200,0.2616487741470337
1606976512.5714025,5215,0.48077723383903503
1606976512.8103883,5225,0.36102399230003357
1606976514.0688853,5260,0.5460941791534424
1606976514.186676,5265,0.4838730990886688
1606976514.5549648,5280,0.4762779176235199
1606976514.7924645,5290,0.3624238967895508
1606976515.5173953,5320,0.38753727078437805
1606976515.639466,5325,0.5814023017883301
1606976515.8805106,5335,0.5094537734985352
1606976516.1248994,5345,0.4500741958618164
1606976516.6239998,5365,0.47662436962127686
1606976516.878533,5375,0.29857131838798523
1606976517.134217,5385,0.5226230621337891
1606976517.3793283,5395,0.3960878252983093
1606976517.6271737,5405,1.1271215677261353
1606976517.9878328,5420,0.1946631669998169
1606976518.1071513,5425,0.6023476123809814
1606976518.2275653,5430,0.484053373336792
1606976518.351035,5435,0.45463547110557556
1606976519.1188388,5465,0.7515914440155029
1606976519.2461672,5470,0.36576804518699646
1606976519.9985404,5500,0.3620436489582062
1606976521.0875578,5510,0.41470202803611755
1606976521.3319676,5520,0.1802995353937149
1606976521.45089,5525,0.31125494837760925
1606976521.580838,5530,0.35453951358795166
1606976522.6697345,5575,0.3189285397529602
1606976522.9082513,5585,0.36327609419822693
1606976523.2702854,5600,0.32530418038368225
1606976523.6332576,5615,0.36288440227508545
1606976523.7510388,5620,0.24591076374053955
1606976523.995585,5630,0.20743173360824585
1606976524.1211443,5635,0.13478508591651917
1606976524.244096,5640,0.3552702069282532
1606976524.6064296,5655,0.1618461012840271
1606976524.7266667,5660,0.14987386763095856
1606976524.9675543,5670,0.3748737573623657
1606976525.087175,5675,0.5368366241455078
1606976525.2126787,5680,0.29539918899536133
1606976525.5720773,5695,0.17964021861553192
1606976525.6949892,5700,2.5534017086029053
1606976525.9345238,5710,0.4269444942474365
1606976526.9154782,5750,0.20860622823238373
1606976527.4415665,5755,0.28921279311180115
1606976527.5614727,5760,0.2926086187362671
1606976527.6823547,5765,0.17869055271148682
1606976528.0423338,5780,0.30176830291748047
1606976528.1643047,5785,0.29543179273605347
1606976528.2857995,5790,0.16695646941661835
1606976528.6621594,5805,0.1460452675819397
1606976528.780511,5810,0.45492905378341675
1606976528.9033992,5815,0.45210492610931396
1606976530.8431463,5890,0.11041955649852753
1606976531.2293396,5905,0.2681368589401245
1606976531.4713087,5915,0.1186419427394867
1606976531.5926032,5920,1.8816412687301636
1606976531.8329537,5930,0.46777355670928955
1606976531.9537344,5935,0.4066421091556549
1606976532.329467,5950,0.5146830081939697
1606976532.6982315,5965,0.4045338034629822
1606976532.8218493,5970,0.30903252959251404
1606976532.942438,5975,0.5208293795585632
1606976533.0621138,5980,0.5606075525283813
1606976533.3068001,5990,0.1831434667110443
1606976533.5485082,6000,0.23946943879127502
1606976534.685551,6010,0.2517482042312622
1606976534.9540975,6020,0.3898110091686249
1606976535.0868385,6025,1.1456456184387207
1606976535.34344,6035,0.34582874178886414
1606976535.5867572,6045,0.26734599471092224
1606976535.82895,6055,0.3173860013484955
1606976535.9558525,6060,0.32140910625457764
1606976536.077118,6065,0.23504918813705444
1606976536.199226,6070,0.4023037850856781
1606976536.3207803,6075,0.39528319239616394
1606976537.5339773,6125,0.5356813073158264
1606976537.6561522,6130,0.34066304564476013
1606976538.0267403,6145,0.393126517534256
1606976538.5121615,6165,0.3103913366794586
1606976538.63384,6170,0.2443077713251114
1606976538.7573464,6175,0.3329037129878998
1606976538.999688,6185,0.5282086730003357
1606976539.3576272,6200,0.735891580581665
1606976539.7245212,6215,0.30722764134407043
1606976540.0210958,6225,0.3375881612300873
1606976540.306178,6235,0.21720579266548157
1606976540.4378872,6240,0.5005404353141785
1606976540.7058368,6250,0.19378356635570526
1606976541.6107042,6270,0.7740781307220459
1606976541.7352128,6275,0.2621513307094574
1606976541.8559103,6280,0.2822931408882141
1606976542.0995407,6290,0.1595047265291214
